	Name Last High Low Change %Change Volume Date
 	Whole Foods Market	34.87	35.04	34.64	-0.25	-0.71%	4.56M	30/05	 
 	Williams	28.69	29.56	28.65	-1.00	-3.37%	7.47M	30/05	 
 	Willis Towers Watson	145.04	145.33	141.67	+0.04	+0.03%	797.76K	30/05	 
 	WW Grainger	171.97	174.32	171.63	-1.61	-0.93%	762.24K	30/05	 
 	Wyndham	100.00	100.33	99.45	+0.37	+0.37%	1.32M	30/05	 
 	Wynn Resorts	126.58	127.59	125.36	+0.85	+0.68%	1.62M	30/05	 
 	Xcel Energy	47.58	47.62	47.21	+0.28	+0.59%	1.74M	30/05	 
 	Xerox	7.08	7.21	6.97	+0.08	+1.14%	6.76M	30/05	 
 	Xilinx	65.72	66.02	65.21	-0.13	-0.20%	3.22M	30/05	 
 	XL Group	43.40	43.59	43.07	+0.10	+0.23%	1.51M	30/05	 
 	Xylem	51.79	52.00	51.29	+0.38	+0.74%	802.05K	30/05	 
 	Yahoo!	50.56	50.94	50.50	-0.11	-0.22%	8.40M	30/05	 
 	Yum! Brands	72.41	72.46	71.96	+0.32	+0.44%	3.45M	30/05	 
 	Zimmer Biomet	118.43	119.05	118.02	-0.80	-0.67%	520.73K	30/05	 
 	Zions	39.87	40.32	39.60	-0.58	-1.43%	3.26M	30/05	 
 	Zoetis Inc	62.26	62.70	61.86	-0.35	-0.56%	2.88M	30/05	 
